FIPS,election
2100,
31145,Republicans
6015,Republicans
12031,Republicans
20053,Republicans
21057,Republicans
26141,Republicans
29225,Republicans
17065,Republicans
17133,Republicans
20101,Republicans
51063,Republicans
41019,Republicans
27025,Republicans
20057,Republicans
37051,Democrats
37167,Republicans
31083,Republicans
35019,Democrats
40125,Republicans
27035,Republicans
31111,Republicans
8093,Republicans
13181,Republicans
13283,Republicans
39123,Republicans
27087,Republicans
42045,Democrats
42127,Republicans
45019,Democrats
5105,Republicans
13221,Republicans
51540,Democrats
6077,Democrats
49053,Republicans
21215,Republicans
29161,Republicans
40061,Republicans
42015,Republicans
31185,Republicans
19065,Republicans
48361,Republicans
8057,Republicans
49029,Republicans
24003,Democrats
47091,Republicans
31053,Republicans
6101,Republicans
40109,Republicans
47067,Republicans
55099,Republicans
37031,Republicans
34019,Republicans
45077,Republicans
47149,Republicans
21083,Republicans
20209,Democrats
55049,Democrats
36079,Republicans
19121,Republicans
17179,Republicans
5113,Republicans
6029,Republicans
1011,Democrats
6089,Republicans
31075,Republicans
27093,Republicans
12037,Republicans
12111,Republicans
13127,Republicans
16023,Republicans
18017,Republicans
46067,Republicans
41039,Democrats
17105,Republicans
48081,Republicans
25007,Democrats
53047,Republicans
8097,Democrats
13013,Republicans
18171,Republicans
20021,Republicans
56021,Republicans
37195,Democrats
35047,Democrats
22041,Republicans
42069,Democrats
28147,Republicans
28107,Republicans
30061,Republicans
36033,Republicans
41065,Republicans
42021,Republicans
45001,Republicans
12095,Democrats
44005,Democrats
26025,Republicans
27131,Republicans
29169,Republicans
24043,Republicans
37001,Republicans
16019,Republicans
40031,Republicans
54097,Republicans
26023,Republicans
46057,Republicans
48175,Republicans
53065,Republicans
48115,Republicans
51049,Republicans
33011,Republicans
21237,Republicans
24011,Republicans
29123,Republicans
13213,Republicans
13247,Democrats
30033,Republicans
35007,Republicans
36021,Democrats
47047,Republicans
17055,Republicans
18177,Republicans
48257,Republicans
5087,Republicans
41029,Republicans
23025,Republicans
28005,Republicans
46043,Republicans
18101,Republicans
4021,Republicans
6069,Democrats
13105,Republicans
51093,Republicans
50025,Democrats
29073,Republicans
21017,Republicans
2282,
22081,Republicans
31177,Republicans
