State,Fips,County,Democrats.2016,Republicans.2016
Alaska,2100,"Haines Borough, Alaska",,
Nebraska,31145,"Red Willow County, Nebraska",12.6062043074491,83.2246591582691
California,6015,"Del Norte County, California",37.2289285332764,54.8445678880462
Florida,12031,"Duval County, Florida",47.4949502488723,48.9956476509911
Kansas,20053,"Ellsworth County, Kansas",19.6115765422696,73.6100533130236
Kentucky,21057,"Cumberland County, Kentucky",14.9706457925636,81.6046966731898
Michigan,26141,"Presque Isle County, Michigan",33.2640332640333,62.1760221760222
Missouri,29225,"Webster County, Missouri",19.0113840623128,76.8663870581186
Illinois,17065,"Hamilton County, Illinois",19.309678976587,77.3594013999517
Illinois,17133,"Monroe County, Illinois",28.9504036908881,66.1319073083779
Kansas,20101,"Lane County, Kansas",12.5150421179302,82.3104693140794
Virginia,51063,"Floyd County, Virginia",28.8509784244857,66.3447064726543
Oregon,41019,"Douglas County, Oregon",27.0516066212269,66.4303797468354
Minnesota,27025,"Chisago County, Minnesota",30.9207237828651,61.4515645306408
Kansas,20057,"Ford County, Kansas",27.3670033670034,67.2592592592593
North Carolina,37051,"Cumberland County, North Carolina",56.689603061044,40.6689603061044
North Carolina,37167,"Stanly County, North Carolina",23.795456860548,73.9805099996605
Nebraska,31083,"Harlan County, Nebraska",13.8432364096081,82.3008849557522
New Mexico,35019,"Guadalupe County, New Mexico",53.03197353914,32.5799338478501
Oklahoma,40125,"Pottawatomie County, Oklahoma",23.62591966007,70.1341621749223
Minnesota,27035,"Crow Wing County, Minnesota",30.8760683760684,62.6602564102564
Nebraska,31111,"Lincoln County, Nebraska",18.3616179660584,76.5088681893582
Colorado,8093,"Park County, Colorado",32.7086383601757,59.0824792581747
Georgia,13181,"Lincoln County, Georgia",31,67.2926829268293
Georgia,13283,"Treutlen County, Georgia",31.8518518518519,66.962962962963
Ohio,39123,"Ottawa County, Ohio",37.4206604728176,56.9818783920523
Minnesota,27087,"Mahnomen County, Minnesota",44.8408871745419,47.7820636451302
Pennsylvania,42045,"Delaware County, Pennsylvania",59.3925542073924,37.4111757105943
